City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Chuy,UY,-33.6971,-53.4616,43.56,67,32,13.38,scattered clouds
187,Kununurra,AU,-15.7667,128.7333,75.18,19,6,13.8,clear sky
188,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,70.39,21,20,13.42,few clouds
189,Boguchany,RU,58.3814,97.4531,72.45,40,100,6.58,overcast clouds
190,Vanderhoof,CA,54.0166,-124.0198,62.87,33,19,9.89,few clouds
191,Zhigansk,RU,66.7697,123.3711,57.22,63,13,4.34,light rain
192,Minna,NG,9.6139,6.5569,74.91,94,40,3.44,scattered clouds
193,Las Vegas,US,36.175,-115.1372,107.04,7,20,27.63,few clouds
194,Mathbaria,BD,22.2876,89.9593,87.82,71,51,14.58,broken clouds
195,Victoria,HK,22.2855,114.1577,87.96,86,100,15.01,light rain
196,Bubaque,GW,11.2833,-15.8333,80.53,79,72,7.31,broken clouds
197,Constitucion,CL,-35.3333,-72.4167,50.7,70,100,0.58,overcast clouds
198,Longyearbyen,SJ,78.2186,15.6401,37.24,81,100,3.44,overcast clouds
199,Onega,RU,63.9061,38.1404,51.22,76,58,6.33,broken clouds
200,Bandarbeyla,SO,9.4942,50.8122,79.16,74,46,24.49,scattered clouds
201,Husavik,IS,66.0449,-17.3389,42.93,99,100,9.24,overcast clouds
202,Balabac,PH,7.9868,117.0645,85.89,65,12,8.37,few clouds
203,Farah,AF,32.5,62.5,76.73,31,0,5.26,clear sky
204,Ukiah,US,39.1502,-123.2078,84.09,56,0,5.75,clear sky
205,Ubinskoye,RU,55.3068,79.6802,62.71,78,49,9.19,scattered clouds
206,Salina Cruz,MX,16.1667,-95.2,80.01,82,48,4.92,scattered clouds
207,Tuttlingen,DE,47.9833,8.8167,55.76,88,1,0.74,clear sky
208,Nuuk,GL,64.1835,-51.7216,43.41,75,40,8.05,scattered clouds
209,Bethel,US,41.3712,-73.414,65.89,85,0,0.0,clear sky
210,Clyde River,CA,70.4692,-68.5914,32.23,93,100,4.61,overcast clouds
211,Zhuanghe,CN,39.7008,122.9911,70.57,67,100,11.07,overcast clouds
212,Mount Gambier,AU,-37.8333,140.7667,51.71,87,40,11.5,scattered clouds
213,San Quintin,MX,30.4833,-115.95,67.75,79,6,9.66,clear sky
214,Houma,US,29.5958,-90.7195,75.02,97,99,8.32,overcast clouds
215,Palasa,IN,18.7667,84.4167,86.27,62,98,6.24,overcast clouds
216,Lazarev,RU,52.225,141.5131,44.96,89,44,20.47,scattered clouds
217,Hofn,IS,64.2539,-15.2082,50.34,76,100,10.92,light rain
218,Acarau,BR,-2.8856,-40.12,75.88,82,11,8.81,few clouds
219,Manga,BF,11.6636,-1.0731,84.87,54,95,6.89,overcast clouds
220,Jalingo,NG,8.8833,11.3667,75.36,90,54,2.77,moderate rain
221,Tiksi,RU,71.6872,128.8694,39.4,71,42,7.94,scattered clouds
222,Kaputa,ZM,-8.4689,29.6619,63.7,75,27,4.03,scattered clouds
223,Bundaberg,AU,-24.85,152.35,61.21,59,100,5.01,overcast clouds
224,Gizo,SB,-8.103,156.8419,84.25,65,0,4.16,clear sky
225,Walvis Bay,NA,-22.9575,14.5053,65.35,39,0,9.22,clear sky
226,Loralai,PK,30.3705,68.598,82.53,31,70,1.25,broken clouds
227,Nalut,LY,30.3333,10.85,67.84,49,0,10.09,clear sky
