City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Nara,JP,78.17,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
404,Ourossogui,SN,85.55,broken clouds,15.6064,-13.3211,Hotel welma
407,Dakoro,NE,81.77,clear sky,14.5106,6.765,Shagon mai liverpool
409,Rach Gia,VN,85.91,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
411,Shimoda,JP,76.1,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
415,Jibuti,DJ,85.57,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
417,Karratha,AU,78.58,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
418,Tessalit,ML,86.38,overcast clouds,20.1986,1.0114,
420,Yuncheng,CN,78.33,overcast clouds,35.0231,110.9928,晋州快捷酒店
421,Kanlagay,PH,85.17,overcast clouds,5.8757,121.2915,
426,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
428,Galle,LK,81.01,overcast clouds,6.0367,80.217,Amangalla
429,Abu Kamal,SY,81.84,clear sky,34.4506,40.9171,البوكمال
431,Tahe,CN,79.36,overcast clouds,52.3333,124.7333,塔河宾馆
433,Yatou,CN,76.51,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
443,Puri,IN,84.72,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
447,Pacifica,US,78.42,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
450,Cabo Rojo,PR,80.67,overcast clouds,18.0866,-67.1457,Hotel Perichi's
451,Asyut,EG,86.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
453,Muisne,EC,76.21,overcast clouds,0.6,-80.0333,Quinta Samay
454,Tuskegee,US,79.95,overcast clouds,32.424,-85.6916,Macon Motel
456,Sinnamary,GF,76.42,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
458,Berbera,SO,89.53,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
462,Monrovia,LR,77.58,overcast clouds,6.3005,-10.7969,Sunset Inn
